pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2026-04-01,Control-aware Handover for Low-altitude UAV in LEO Satellite-Ground Integrated Wireless Networks,IEEE Transactions on Vehicular Technology,Control-aware handover for low-altitude UAVs in LEO satellite-ground integrated wireless networks.,"Tianhao Liang, G. Chen, Y. Ping, et al. (2026). ""Control-aware Handover for Low-altitude UAV in LEO Satellite-Ground Integrated Wireless Networks."" <i>IEEE Transactions on Vehicular Technology</i>, early access.",control-aware-handover-low-altitude-uav,,,manuscripts
2026-03-01,Towards Secure Low-Altitude Airspace: MLLM-Enabled UAV Intent Recognition,IEEE Internet of Things Magazine,MLLM-enabled UAV intent recognition for secure low-altitude airspace.,"G. Lei, Tianhao Liang, Y. Ping, et al. (2026). ""Towards Secure Low-Altitude Airspace: MLLM-Enabled UAV Intent Recognition."" <i>IEEE Internet of Things Magazine</i>, 9(2), 93-100.",towards-secure-low-altitude-airspace,,,manuscripts
2026-02-01,UAV Detection and Localization: A RF-Based Framework Via Multiple Stations Collaboration,IEEE Transactions on Network Science and Engineering,An RF-based UAV detection and localization framework using multiple cooperating stations.,"Tianhao Liang, M. Jia, T. Zhang, et al. (2026). ""UAV Detection and Localization: A RF-Based Framework Via Multiple Stations Collaboration."" <i>IEEE Transactions on Network Science and Engineering</i>, 13, 5736-5751.",uav-detection-and-localization,,,manuscripts
2026-02-01,UAV Control and Communication Enabled Low-Altitude Economy: Challenges, Resilient Architecture and Co-design Strategies,IEEE Network,"Challenges, resilient architecture, and co-design strategies for UAV control and communication in the low-altitude economy.","Tianhao Liang, N. Su, Y. Ping, et al. (2026). ""UAV Control and Communication Enabled Low-Altitude Economy: Challenges, Resilient Architecture and Co-design Strategies."" <i>IEEE Network</i>, early access.",uav-control-and-communication-low-altitude-economy,,,manuscripts
2026-02-01,Satellite-Assisted UAV Control: Sensing and Communication Scheduling for Energy Efficient Data Collection,IEEE Internet of Things Journal,Sensing and communication scheduling for energy-efficient satellite-assisted UAV data collection.,"Tianhao Liang, H. Ding, Y. Ping, et al. (2026). ""Satellite-Assisted UAV Control: Sensing and Communication Scheduling for Energy Efficient Data Collection."" <i>IEEE Internet of Things Journal</i>, 13(4), 5694-5707.",satellite-assisted-uav-control,,,manuscripts
2026-01-01,Multimodal large language models-enabled UAV swarm: Towards efficient and intelligent autonomous aerial systems,IEEE Wireless Communications,Multimodal large language models for efficient and intelligent autonomous UAV swarms.,"Y. Ping, Tianhao Liang, H. Ding, et al. (2026). ""Multimodal large language models-enabled UAV swarm: Towards efficient and intelligent autonomous aerial systems."" <i>IEEE Wireless Communications</i>, 33(1), 89-97.",multimodal-large-language-models-enabled-uav-swarm,,,manuscripts
2024-10-01,"Sensing, communication, and control co-design for energy-efficient UAV-aided data collection",IEEE Wireless Communications Letters,"Sensing, communication, and control co-design for energy-efficient UAV-aided data collection.","Tianhao Liang, T. Zhang, B. Cao, et al. (2024). ""Sensing, communication, and control co-design for energy-efficient UAV-aided data collection."" <i>IEEE Wireless Communications Letters</i>, 13(10), 2852-2856.",sensing-communication-control-co-design,,,manuscripts
2024-07-01,Toward seamless localization and communication: A satellite-UAV NTN architecture,IEEE Network,A satellite-UAV non-terrestrial-network architecture for seamless localization and communication.,"Tianhao Liang, T. Zhang, Q. Zhang. (2024). ""Toward seamless localization and communication: A satellite-UAV NTN architecture."" <i>IEEE Network</i>, 38(4), 103-110.",toward-seamless-localization-and-communication,,,manuscripts
2024-05-01,Age of information based scheduling for UAV aided localization and communication,IEEE Transactions on Wireless Communications,Age-of-information based scheduling for UAV-aided localization and communication.,"Tianhao Liang, T. Zhang, Q. Wu, et al. (2024). ""Age of information based scheduling for UAV aided localization and communication."" <i>IEEE Transactions on Wireless Communications</i>, 23(5), 4610-4626.",age-of-information-based-scheduling-uav-localization-communication,,,manuscripts
2024-01-01,"UAV-aided localization and communication: Joint frame structure, beamwidth, and power allocation",IEEE Journal of Selected Areas in Sensors,"Joint frame structure, beamwidth, and power allocation for UAV-aided localization and communication.","Tianhao Liang, T. Zhang, S. Zhou, et al. (2024). ""UAV-aided localization and communication: Joint frame structure, beamwidth, and power allocation."" <i>IEEE Journal of Selected Areas in Sensors</i>, 1, 154-165.",uav-aided-localization-and-communication,,,manuscripts
